symbol,strike,option_type,short_expiry,long_expiry,entry_time,entry_cost,entry_cost_per_contract,pnl,pnl_pct,pnl_per_contract,exit_time,success,failure_reason,iv_short_entry,iv_long_entry,iv_ratio_entry,iv_ratio_quartile
TCOM,70.0,C,2025-11-21,2025-12-19,2025-11-16 15:00:00,1.4499999999999997,144.99999999999997,0.19999999999999973,13.793103448275845,19.99999999999997,2025-11-18 10:00:00,True,,0.6498479170619063,0.41241845531613364,1.5757003807304752,Q2
XPEV,25.0,C,2025-11-21,2025-11-28,2025-11-16 15:00:00,0.24,24.0,-0.009999999999999953,-4.166666666666647,-0.9999999999999953,2025-11-17 16:00:00,True,,0.9827545450211468,0.7610399583091114,1.2913310717674322,Q1 (Low)
ACM,135.0,C,2025-11-21,2025-12-19,2025-11-16 15:00:00,1.5500000000000003,155.00000000000003,0.6499999999999999,41.93548387096773,64.99999999999999,2025-11-18 10:00:00,True,,0.5181645060827788,0.284637652209814,1.8204355680281745,Q3
HTHT,45.0,C,2025-11-21,2025-12-19,2025-11-16 15:00:00,1.15,114.99999999999999,-0.04999999999999982,-4.347826086956506,-4.999999999999982,2025-11-17 16:00:00,True,,0.6283864897327711,0.4550052813752024,1.3810531777423407,Q2
YMM,12.5,C,2025-11-21,2025-12-19,2025-11-16 15:00:00,0.5,50.0,-0.45,-90.0,-45.0,2025-11-17 16:00:00,True,,0.8304819195978946,0.6477426242529347,1.2821171380464884,Q1 (Low)
ARMK,38.0,C,2025-11-21,2025-12-19,2025-11-16 15:00:00,0.25,25.0,1.2,480.0,120.0,2025-11-17 16:00:00,True,,0.829794924934757,0.36224687390509025,2.2906889878424894,Q4 (High)
BRC,75.0,C,2025-11-21,2025-12-19,2025-11-16 15:00:00,1.6,160.0,0.0,0.0,0.0,2025-11-17 16:00:00,True,,0.7533085141984533,0.45635672006259403,1.6507010439007654,Q2
HP,27.5,C,2025-11-21,2025-12-19,2025-11-16 15:00:00,0.6000000000000001,60.00000000000001,0.1499999999999999,24.999999999999982,14.999999999999991,2025-11-18 10:00:00,True,,0.7871392856177064,0.47229871175586674,1.66661323866702,Q3
LU,3.0,C,2025-11-21,2025-12-19,2025-11-16 15:00:00,0.2,20.0,0.0,0.0,0.0,2025-11-18 10:00:00,True,,1.2948002060465054,1.1779591643307796,1.0991893821566432,Q1 (Low)
DAC,95.0,C,2025-11-21,2025-12-19,2025-11-16 15:00:00,1.4,140.0,0.0,0.0,0.0,2025-11-18 10:00:00,True,,0.3972400609484667,0.2627632942923797,1.511779116707424,Q2
JJSF,85.0,C,2025-11-21,2025-12-19,2025-11-16 15:00:00,1.0499999999999998,104.99999999999999,1.2000000000000002,114.28571428571432,120.00000000000001,2025-11-17 16:00:00,True,,0.8398953399852408,0.41977196216302376,2.0008371584833404,Q4 (High)
JKS,27.5,C,2025-11-21,2025-12-19,2025-11-16 15:00:00,1.2000000000000002,120.00000000000001,-0.25000000000000044,-20.833333333333368,-25.000000000000043,2025-11-17 16:00:00,True,,1.06854784426523,0.7721458048272305,1.3838679658491706,Q2
IMTX,10.0,C,2025-11-21,2025-12-19,2025-11-16 15:00:00,0.5,50.0,0.0,0.0,0.0,2025-11-18 10:00:00,True,,1.8976746061167367,1.1422413461183096,1.6613604581602859,Q3
EH,15.0,C,2025-11-21,2025-11-28,2025-11-16 15:00:00,0.19999999999999996,19.999999999999996,0.050000000000000044,25.00000000000003,5.000000000000004,2025-11-18 10:00:00,True,,0.6939368538571161,0.6257843604843002,1.108907313247765,Q1 (Low)
YSG,7.5,C,2025-11-21,2026-01-16,2025-11-16 15:00:00,0.45000000000000007,45.00000000000001,-0.30000000000000004,-66.66666666666666,-30.000000000000004,2025-11-17 16:00:00,True,,1.8680123198591025,0.9271543625795339,2.0147802731164512,Q4 (High)
SOHU,15.0,C,2025-11-21,2025-12-19,2025-11-16 15:00:00,0.10000000000000003,10.000000000000004,-5.551115123125783e-17,-5.551115123125781e-14,-5.551115123125783e-15,2025-11-17 16:00:00,True,,0.9197559118754742,0.4077441532076525,2.2557182111378276,Q4 (High)
NKLR,5.0,C,2025-11-21,2025-12-19,2025-11-16 15:00:00,0.35,35.0,0.050000000000000044,14.285714285714299,5.000000000000004,2025-11-17 16:00:00,True,,3.0528405942025207,1.8121832906033981,1.684620209242755,Q3
SY,5.0,C,2025-11-21,2025-12-19,2025-11-16 15:00:00,0.45000000000000007,45.00000000000001,-0.45000000000000007,-100.0,-45.00000000000001,2025-11-17 16:00:00,True,,2.5579248813042645,2.134814300087099,1.1981954970040734,Q1 (Low)
NIU,5.0,C,2025-11-21,2025-12-19,2025-11-16 15:00:00,0.09999999999999999,10.0,0.05000000000000003,50.000000000000036,5.000000000000003,2025-11-17 16:00:00,True,,1.7682074124993186,0.9931881522959006,1.7803347818959043,Q3
LFMD,5.0,C,2025-11-21,2025-12-19,2025-11-16 15:00:00,0.10000000000000003,10.000000000000004,0.14999999999999997,149.99999999999991,14.999999999999996,2025-11-18 10:00:00,True,,2.0537878764033635,0.9696888904725542,2.117986393968585,Q4 (High)
NRXP,2.5,C,2025-11-21,2025-12-19,2025-11-16 15:00:00,0.7,70.0,0.20000000000000007,28.57142857142858,20.000000000000007,2025-11-17 16:00:00,True,,2.621712856243727,3.5019551206228328,0.7486426198909848,Q1 (Low)
